Position	Technique	Gi/No-Gi
Half Guard Bottom	Plan B Sweep	gi
Half Guard Bottom	Plan B Sweep	nogi
Half Guard Bottom	Underhook	gi
Half Guard Bottom	Underhook	nogi
Half Guard Top	Backstep Pass	gi
Half Guard Top	Backstep Pass	nogi
Half Guard Top	Crossface	gi
Half Guard Top	Crossface	nogi
Half Guard Top	Hip Switch Pass	gi
Half Guard Top	Hip Switch Pass	nogi
Half Guard Top	Knee Slice Pass	gi
Half Guard Top	Knee Slice Pass	nogi
Half Guard Top	Mount from Half	gi
Half Guard Top	Mount from Half	nogi
Half Guard Top	Smash Pass	gi
Half Guard Top	Smash Pass	nogi
Half Guard Top	Underhook Control	gi
Half Guard Top	Underhook Control	nogi
High Ground	Armbar	gi
High Ground	Armbar	nogi
High Ground	Back Take	gi
High Ground	Back Take	nogi
High Ground	High Ground Entry	gi
High Ground	High Ground Entry	nogi
High Ground	High Ground Retention	gi
High Ground	High Ground Retention	nogi
High Ground	High Ground Sweep	gi
High Ground	High Ground Sweep	nogi
High Ground	Kimura	gi
High Ground	Kimura	nogi
High Ground	Leg Entanglement Entry	gi
High Ground	Leg Entanglement Entry	nogi
High Ground	Mount Transition	gi
High Ground	Mount Transition	nogi
High Ground	Omoplata	gi
High Ground	Omoplata	nogi
High Ground	Triangle	gi
High Ground	Triangle	nogi
K Guard	Back Take	gi
K Guard	Back Take	nogi
K Guard	Backside 50/50 Entry	gi
K Guard	Backside 50/50 Entry	nogi
K Guard	Calf Slicer	gi
K Guard	Calf Slicer	nogi
K Guard	Cross Ashi Entry	gi
K Guard	Cross Ashi Entry	nogi
K Guard	Inside Heel Hook	gi
K Guard	Inside Heel Hook	nogi
K Guard	Inside Sankaku Entry	gi
K Guard	Inside Sankaku Entry	nogi
K Guard	K Guard Entry from Butterfly	gi
K Guard	K Guard Entry from Butterfly	nogi
K Guard	K Guard Entry from Half Guard	gi
K Guard	K Guard Entry from Half Guard	nogi
K Guard	K Guard Entry from Open Guard	gi
K Guard	K Guard Entry from Open Guard	nogi
K Guard	K Guard Retention	gi
K Guard	K Guard Retention	nogi
K Guard	K Guard Sweep	gi
K Guard	K Guard Sweep	nogi
K Guard	Kneebar	gi
K Guard	Kneebar	nogi
K Guard	Outside Ashi Entry	gi
K Guard	Outside Ashi Entry	nogi
K Guard	Outside Heel Hook	gi
K Guard	Outside Heel Hook	nogi
K Guard	Straight Ankle Lock	gi
K Guard	Straight Ankle Lock	nogi
Knee Shield	Collar Drag	gi
Knee Shield	Frame Escape	gi
Knee Shield	Frame Escape	nogi
Knee Shield	Hip Bump Sweep	gi
Knee Shield	Hip Bump Sweep	nogi
Knee Shield	Omoplata	gi
Knee Shield	Omoplata	nogi
Knee Shield	Triangle	gi
Knee Shield	Triangle	nogi
Knee Shield	Underhook	gi
Knee Shield	Underhook	nogi
Knee on Belly	Armbar	gi
Knee on Belly	Armbar	nogi
Knee on Belly	Back Take	gi
Knee on Belly	Back Take	nogi
Knee on Belly	Baseball Bat Choke	gi
Knee on Belly	Collar Choke	gi
Knee on Belly	Escape KOB	gi
Knee on Belly	Escape KOB	nogi
Knee on Belly	Far Side Armbar	gi
Knee on Belly	Far Side Armbar	nogi
Knee on Belly	Mount Transition	gi
Knee on Belly	Mount Transition	nogi
Lasso Guard	Back Take	gi
Lasso Guard	Bicep Slicer	gi
Lasso Guard	Lasso Sweep	gi
Lasso Guard	Omoplata	gi
Lasso Guard	Pendulum Sweep	gi
Lasso Guard	Triangle	gi
Leg Entanglement	50/50 Entry	gi
Leg Entanglement	50/50 Entry	nogi
Leg Entanglement	Boot Escape	gi
Leg Entanglement	Boot Escape	nogi
Leg Entanglement	Calf Slicer	gi
Leg Entanglement	Calf Slicer	nogi
Leg Entanglement	Honeyhole/Saddle	gi
Leg Entanglement	Honeyhole/Saddle	nogi
Leg Entanglement	Inside Ashi	gi
Leg Entanglement	Inside Ashi	nogi
Leg Entanglement	Inside Heel Hook	gi
Leg Entanglement	Inside Heel Hook	nogi
Leg Entanglement	Kneebar	gi
Leg Entanglement	Kneebar	nogi
Leg Entanglement	Leg Defense	gi
Leg Entanglement	Leg Defense	nogi
Leg Entanglement	Outside Ashi	gi
Leg Entanglement	Outside Ashi	nogi
Leg Entanglement	Outside Heel Hook	gi
Leg Entanglement	Outside Heel Hook	nogi
Leg Entanglement	Saddle Entry	gi
Leg Entanglement	Saddle Entry	nogi
Leg Entanglement	Straight Ankle Lock	gi
Leg Entanglement	Straight Ankle Lock	nogi
Leg Entanglement	Toe Hold	gi
Leg Entanglement	Toe Hold	nogi
Lockdown	Back Take	gi
Lockdown	Back Take	nogi
Lockdown	Banana Split	gi
Lockdown	Banana Split	nogi
Lockdown	Dogfight Entry	gi
Lockdown	Dogfight Entry	nogi
Lockdown	Electric Chair Submission	gi
Lockdown	Electric Chair Submission	nogi
Lockdown	Electric Chair Sweep	gi
Lockdown	Electric Chair Sweep	nogi
Lockdown	Lockdown Entry	gi
Lockdown	Lockdown Entry	nogi
Lockdown	Old School Sweep	gi
Lockdown	Old School Sweep	nogi
Lockdown	Plan B	gi
Lockdown	Plan B	nogi
Lockdown	Vaporizer	gi
Lockdown	Vaporizer	nogi
Lockdown	Whip Up	gi
Lockdown	Whip Up	nogi
Mount Bottom	Elbow-Knee Escape	gi
Mount Bottom	Elbow-Knee Escape	nogi
Mount Bottom	Foot Lock Escape	gi
Mount Bottom	Foot Lock Escape	nogi
Mount Bottom	Heel Drag Escape	gi
Mount Bottom	Heel Drag Escape	nogi
Mount Bottom	Kipping Escape	gi
Mount Bottom	Kipping Escape	nogi
Mount Bottom	Trap and Roll	gi
Mount Bottom	Trap and Roll	nogi
Mount Bottom	Upa (Bridge and Roll)	gi
Mount Bottom	Upa (Bridge and Roll)	nogi
Mount Top	Americana	gi
